Timestamp,Electricity Usage (kW),Water Consumption (Liters),Traffic Density (Vehicles/Min),Waste Level (%),Zone,Event/Anomaly
2025-04-20 05:31:33.039055,348.78,9258.77,41,87.39,Zone A,None
2025-04-20 06:31:33.039055,276.04,11543.4,23,49.86,Zone B,
2025-04-20 07:31:33.039055,290.72,4302.91,59,70.56,Zone B,
2025-04-20 08:31:33.039055,244.68,12297.53,37,27.63,Zone B,Maintenance
2025-04-20 09:31:33.039055,240.19,6520.57,62,28.29,Zone D,Power Outage
2025-04-20 10:31:33.039055,340.63,9275.12,33,23.89,Zone D,Heavy Rain
2025-04-20 11:31:33.039055,367.81,7760.66,88,66.48,Zone C,
2025-04-20 12:31:33.039055,296.4,7410.64,31,54.09,Zone B,None
2025-04-20 13:31:33.039055,350.18,12321.65,39,63.84,Zone C,None
2025-04-20 14:31:33.039055,318.08,9064.6,72,61.69,Zone A,Heavy Rain
2025-04-20 15:31:33.039055,267.74,10693.01,13,48.02,Zone B,Heavy Rain
2025-04-20 16:31:33.039055,318.07,9906.16,86,74.2,Zone A,Heavy Rain
2025-04-20 17:31:33.039055,376.9,10954.08,68,80.68,Zone C,
2025-04-20 18:31:33.039055,298.21,10153.64,96,21.17,Zone D,None
2025-04-20 19:31:33.039055,378.23,7434.02,17,36.58,Zone C,Heavy Rain
2025-04-20 20:31:33.039055,169.01,11992.53,91,77.06,Zone A,
2025-04-20 21:31:33.039055,341.1,9012.49,21,50.93,Zone B,Heavy Rain
2025-04-20 22:31:33.039055,304.35,6886.84,40,73.0,Zone C,None
2025-04-20 23:31:33.039055,285.05,9143.77,87,47.76,Zone B,None
2025-04-21 00:31:33.039055,304.59,13001.52,43,51.26,Zone D,Power Outage
2025-04-21 01:31:33.039055,200.62,11700.44,91,32.69,Zone D,Maintenance
2025-04-21 02:31:33.039055,289.02,9302.7,84,40.66,Zone D,Festival
2025-04-21 03:31:33.039055,317.86,9301.48,85,68.43,Zone B,None
2025-04-21 04:31:33.039055,373.89,9356.73,58,54.65,Zone C,Festival
2025-04-21 05:31:33.039055,274.09,14153.5,88,81.94,Zone B,Power Outage
2025-04-21 06:31:33.039055,259.58,10763.87,66,88.21,Zone B,Maintenance
2025-04-21 07:31:33.039055,274.91,10860.08,35,63.33,Zone C,
2025-04-21 08:31:33.039055,345.77,12060.57,27,80.66,Zone D,Maintenance
2025-04-21 09:31:33.039055,316.44,10477.58,95,44.55,Zone D,Maintenance
2025-04-21 10:31:33.039055,273.51,9481.92,47,53.2,Zone C,
2025-04-21 11:31:33.039055,325.66,9607.3,90,77.02,Zone B,Power Outage
2025-04-21 12:31:33.039055,304.85,9856.8,96,50.9,Zone B,Heavy Rain
2025-04-21 13:31:33.039055,348.43,9925.56,97,67.08,Zone D,Maintenance
2025-04-21 14:31:33.039055,264.9,11455.26,59,34.83,Zone A,Maintenance
2025-04-21 15:31:33.039055,283.62,10103.89,17,67.98,Zone A,Power Outage
2025-04-21 16:31:33.039055,280.39,11465.28,50,88.92,Zone A,Heavy Rain
2025-04-21 17:31:33.039055,226.82,9838.57,15,89.49,Zone B,Maintenance
2025-04-21 18:31:33.039055,314.81,10157.27,78,77.95,Zone B,Maintenance
2025-04-21 19:31:33.039055,313.05,6003.6,53,79.66,Zone D,Heavy Rain
2025-04-21 20:31:33.039055,300.26,11832.66,73,64.63,Zone A,None
2025-04-21 21:31:33.039055,288.27,10692.98,38,66.77,Zone D,
2025-04-21 22:31:33.039055,229.23,11996.02,37,30.69,Zone D,None
2025-04-21 23:31:33.039055,278.97,4207.49,20,55.51,Zone D,
2025-04-22 00:31:33.039055,282.86,14176.75,74,56.06,Zone C,
2025-04-22 01:31:33.039055,259.89,9720.82,28,96.68,Zone A,Maintenance
2025-04-22 02:31:33.039055,291.94,12216.37,18,54.49,Zone A,
2025-04-22 03:31:33.039055,320.2,7920.19,36,63.95,Zone C,Festival
2025-04-22 04:31:33.039055,394.31,11225.55,43,62.66,Zone C,Heavy Rain
2025-04-22 05:31:33.039055,308.73,7893.17,53,70.94,Zone A,Heavy Rain
2025-04-22 06:31:33.039055,312.88,8752.46,77,79.86,Zone C,Festival
2025-04-22 07:31:33.039055,296.28,13828.06,91,38.0,Zone D,Heavy Rain
2025-04-22 08:31:33.039055,204.06,9618.64,24,62.3,Zone B,Power Outage
2025-04-22 09:31:33.039055,298.67,10434.87,60,86.07,Zone D,Heavy Rain
2025-04-22 10:31:33.039055,303.01,11740.14,22,57.05,Zone A,Heavy Rain
2025-04-22 11:31:33.039055,423.16,10991.36,92,42.28,Zone C,Heavy Rain
2025-04-22 12:31:33.039055,290.38,10300.84,58,72.38,Zone B,
2025-04-22 13:31:33.039055,315.08,10729.92,79,85.9,Zone A,None
2025-04-22 14:31:33.039055,298.26,14806.83,65,25.05,Zone C,Power Outage
2025-04-22 15:31:33.039055,241.57,9884.76,85,82.14,Zone B,Heavy Rain
2025-04-22 16:31:33.039055,357.14,10402.2,60,85.73,Zone B,Power Outage
2025-04-22 17:31:33.039055,337.6,12101.31,46,56.92,Zone C,
2025-04-22 18:31:33.039055,339.55,12211.05,26,98.66,Zone B,Power Outage
2025-04-22 19:31:33.039055,254.53,12374.06,67,82.94,Zone A,Power Outage
2025-04-22 20:31:33.039055,370.14,11277.46,96,81.89,Zone C,Festival
2025-04-22 21:31:33.039055,229.91,7713.99,99,79.83,Zone D,
2025-04-22 22:31:33.039055,329.34,13266.86,38,32.05,Zone A,Heavy Rain
2025-04-22 23:31:33.039055,409.52,7707.31,42,37.38,Zone A,None
2025-04-23 00:31:33.039055,250.47,10605.27,69,57.12,Zone C,None
2025-04-23 01:31:33.039055,271.69,8491.45,98,41.12,Zone C,None
2025-04-23 02:31:33.039055,304.98,9871.72,64,53.22,Zone B,None
2025-04-23 03:31:33.039055,274.83,10657.52,19,91.08,Zone A,Heavy Rain
2025-04-23 04:31:33.039055,222.47,10642.71,56,85.95,Zone B,None
2025-04-23 05:31:33.039055,303.43,10843.84,32,70.4,Zone A,
2025-04-23 06:31:33.039055,246.88,13227.42,94,88.65,Zone A,
2025-04-23 07:31:33.039055,323.68,10907.07,30,82.7,Zone D,Power Outage
2025-04-23 08:31:33.039055,254.03,9511.69,22,54.32,Zone A,Festival
2025-04-23 09:31:33.039055,377.5,11928.17,42,36.09,Zone B,Maintenance
2025-04-23 10:31:33.039055,260.84,12378.94,33,61.14,Zone B,None
2025-04-23 11:31:33.039055,283.9,7544.78,20,78.9,Zone D,Maintenance
2025-04-23 12:31:33.039055,340.68,11194.8,26,54.91,Zone B,Maintenance
2025-04-23 13:31:33.039055,238.46,11402.35,77,73.34,Zone C,Maintenance
2025-04-23 14:31:33.039055,311.37,9404.87,56,27.55,Zone D,Power Outage
2025-04-23 15:31:33.039055,365.36,12751.41,34,79.84,Zone B,
2025-04-23 16:31:33.039055,219.63,9699.89,82,85.02,Zone B,None
2025-04-23 17:31:33.039055,309.23,10251.15,30,76.55,Zone C,Heavy Rain
2025-04-23 18:31:33.039055,312.99,9653.86,93,97.38,Zone D,Power Outage
2025-04-23 19:31:33.039055,339.09,10031.16,92,86.13,Zone C,
2025-04-23 20:31:33.039055,238.15,7807.45,92,92.25,Zone D,Heavy Rain
2025-04-23 21:31:33.039055,233.98,7119.9,21,94.69,Zone D,
2025-04-23 22:31:33.039055,326.1,13189.01,46,84.11,Zone A,None
2025-04-23 23:31:33.039055,314.85,8306.08,51,73.94,Zone B,Power Outage
2025-04-24 00:31:33.039055,312.52,8017.22,26,20.46,Zone B,Maintenance
2025-04-24 01:31:33.039055,317.32,5693.22,57,57.27,Zone A,Power Outage
2025-04-24 02:31:33.039055,266.0,8722.08,37,65.69,Zone C,Power Outage
2025-04-24 03:31:33.039055,311.61,7353.82,50,44.32,Zone A,None
2025-04-24 04:31:33.039055,314.65,13284.03,56,45.45,Zone B,Maintenance
2025-04-24 05:31:33.039055,264.28,12019.63,27,96.89,Zone B,Maintenance
2025-04-24 06:31:33.039055,393.29,8623.7,87,91.34,Zone A,Festival
2025-04-24 07:31:33.039055,323.69,14504.87,80,87.93,Zone A,Festival
2025-04-24 08:31:33.039055,240.43,11963.53,22,52.48,Zone A,
2025-04-24 09:31:33.039055,332.83,9350.34,91,21.1,Zone B,Heavy Rain
2025-04-24 10:31:33.039055,251.27,5001.19,22,26.42,Zone A,Festival
2025-04-24 11:31:33.039055,339.35,14581.89,40,44.98,Zone A,None
2025-04-24 12:31:33.039055,357.93,7220.86,11,21.26,Zone C,Power Outage
2025-04-24 13:31:33.039055,258.97,6709.2,25,21.37,Zone A,Maintenance
2025-04-24 14:31:33.039055,348.17,12045.14,18,93.33,Zone B,Power Outage
2025-04-24 15:31:33.039055,320.64,14879.5,82,76.49,Zone C,None
2025-04-24 16:31:33.039055,341.1,12768.55,47,44.72,Zone D,Power Outage
2025-04-24 17:31:33.039055,394.84,11127.82,84,30.61,Zone B,Maintenance
2025-04-24 18:31:33.039055,287.73,11189.51,63,60.93,Zone B,Festival
2025-04-24 19:31:33.039055,262.31,11706.83,65,20.43,Zone D,Heavy Rain
2025-04-24 20:31:33.039055,255.52,11517.86,95,95.07,Zone B,Maintenance
2025-04-24 21:31:33.039055,259.21,10562.38,96,53.19,Zone D,Maintenance
2025-04-24 22:31:33.039055,296.14,10208.4,54,52.19,Zone D,Maintenance
2025-04-24 23:31:33.039055,317.06,9874.81,43,51.25,Zone B,
2025-04-25 00:31:33.039055,313.83,8492.07,18,25.55,Zone A,
2025-04-25 01:31:33.039055,341.36,9438.65,97,71.07,Zone A,Maintenance
2025-04-25 02:31:33.039055,300.65,6614.09,17,78.64,Zone D,None
2025-04-25 03:31:33.039055,372.68,9803.32,16,74.09,Zone C,Maintenance
2025-04-25 04:31:33.039055,286.77,8022.82,45,31.07,Zone D,
2025-04-25 05:31:33.039055,436.01,7792.82,27,66.31,Zone D,
2025-04-25 06:31:33.039055,331.28,10359.79,12,65.56,Zone D,Power Outage
2025-04-25 07:31:33.039055,257.14,12784.0,37,89.47,Zone A,None
2025-04-25 08:31:33.039055,246.46,11836.63,79,50.33,Zone A,Festival
2025-04-25 09:31:33.039055,324.12,6859.0,53,49.72,Zone A,Power Outage
2025-04-25 10:31:33.039055,288.83,8020.74,30,69.48,Zone D,
2025-04-25 11:31:33.039055,335.7,11881.54,37,70.65,Zone C,Power Outage
2025-04-25 12:31:33.039055,323.66,8035.03,63,57.54,Zone A,Power Outage
2025-04-25 13:31:33.039055,296.36,9550.73,63,55.44,Zone B,Power Outage
2025-04-25 14:31:33.039055,257.66,11100.1,74,59.53,Zone B,None
2025-04-25 15:31:33.039055,224.26,8063.31,30,88.88,Zone B,Festival
2025-04-25 16:31:33.039055,277.67,10210.75,22,56.89,Zone D,Festival
2025-04-25 17:31:33.039055,342.82,7331.95,66,95.19,Zone B,Maintenance
2025-04-25 18:31:33.039055,310.7,8797.26,58,60.32,Zone D,
2025-04-25 19:31:33.039055,237.71,10639.56,63,95.94,Zone B,Heavy Rain
2025-04-25 20:31:33.039055,308.66,6814.01,19,86.63,Zone C,None
2025-04-25 21:31:33.039055,319.27,10880.95,62,48.99,Zone D,Festival
2025-04-25 22:31:33.039055,255.81,9960.72,53,89.09,Zone B,
2025-04-25 23:31:33.039055,307.69,11104.98,56,28.81,Zone A,
2025-04-26 00:31:33.039055,302.91,10447.83,62,94.0,Zone D,None
2025-04-26 01:31:33.039055,242.85,12728.28,83,70.53,Zone A,None
2025-04-26 02:31:33.039055,317.89,10250.45,55,24.35,Zone A,
2025-04-26 03:31:33.039055,328.04,9141.19,22,71.54,Zone A,Maintenance
2025-04-26 04:31:33.039055,354.15,10244.6,46,97.94,Zone A,Festival
2025-04-26 05:31:33.039055,352.69,11086.6,33,25.58,Zone B,Heavy Rain
2025-04-26 06:31:33.039055,231.12,10097.72,11,64.38,Zone B,Heavy Rain
2025-04-26 07:31:33.039055,253.11,10081.18,95,79.82,Zone D,Heavy Rain
2025-04-26 08:31:33.039055,325.75,8596.02,90,84.82,Zone D,Power Outage
2025-04-26 09:31:33.039055,325.69,8674.2,23,53.11,Zone D,Festival
2025-04-26 10:31:33.039055,325.75,7194.79,19,36.33,Zone B,Power Outage
2025-04-26 11:31:33.039055,492.64,13499.15,44,23.39,Zone D,Power Outage
2025-04-26 12:31:33.039055,328.54,7512.27,34,66.38,Zone A,
2025-04-26 13:31:33.039055,356.78,8614.19,12,56.23,Zone B,Power Outage
2025-04-26 14:31:33.039055,347.7,8563.19,26,95.9,Zone D,Maintenance
2025-04-26 15:31:33.039055,332.57,11789.85,21,24.85,Zone A,Maintenance
2025-04-26 16:31:33.039055,284.24,9410.1,63,74.83,Zone D,None
2025-04-26 17:31:33.039055,337.95,12495.48,33,22.0,Zone C,None
2025-04-26 18:31:33.039055,261.36,8653.02,38,33.71,Zone D,Festival
2025-04-26 19:31:33.039055,288.16,10557.99,52,56.29,Zone C,Festival
2025-04-26 20:31:33.039055,275.73,8329.31,34,56.39,Zone D,Maintenance
2025-04-26 21:31:33.039055,304.09,14290.3,69,74.86,Zone D,None
2025-04-26 22:31:33.039055,415.73,7624.8,99,92.82,Zone B,
2025-04-26 23:31:33.039055,206.64,10619.64,74,71.12,Zone B,None
2025-04-27 00:31:33.039055,334.31,11267.55,93,96.28,Zone C,Power Outage
2025-04-27 01:31:33.039055,219.36,10827.6,37,90.53,Zone B,Heavy Rain
2025-04-27 02:31:33.039055,276.4,9629.42,25,66.76,Zone A,
2025-04-27 03:31:33.039055,354.45,9740.36,56,86.7,Zone A,Heavy Rain
2025-04-27 04:31:33.039055,303.21,10087.62,90,71.41,Zone C,Heavy Rain
2025-04-27 05:31:33.039055,246.11,9706.0,67,26.28,Zone A,Maintenance
2025-04-27 06:31:33.039055,264.23,11927.76,85,79.25,Zone A,Heavy Rain
2025-04-27 07:31:33.039055,333.98,14421.05,36,27.59,Zone D,Heavy Rain
2025-04-27 08:31:33.039055,263.48,8885.02,62,67.53,Zone B,Power Outage
2025-04-27 09:31:33.039055,310.82,7260.39,51,76.21,Zone A,Festival
2025-04-27 10:31:33.039055,302.28,9823.44,68,25.32,Zone A,Maintenance
2025-04-27 11:31:33.039055,267.42,15159.42,56,38.46,Zone B,None
2025-04-27 12:31:33.039055,407.2,8392.65,43,93.25,Zone A,Power Outage
2025-04-27 13:31:33.039055,331.7,13278.23,46,69.31,Zone A,Heavy Rain
2025-04-27 14:31:33.039055,198.74,13355.4,15,39.7,Zone B,None
2025-04-27 15:31:33.039055,309.32,8892.82,16,75.25,Zone D,Power Outage
2025-04-27 16:31:33.039055,266.91,11137.97,34,67.74,Zone A,
2025-04-27 17:31:33.039055,342.62,13256.79,42,60.13,Zone B,
2025-04-27 18:31:33.039055,260.37,9241.74,64,98.09,Zone A,Maintenance
2025-04-27 19:31:33.039055,294.26,9592.84,67,74.68,Zone A,Heavy Rain
2025-04-27 20:31:33.039055,325.25,8836.64,16,50.04,Zone D,Maintenance
2025-04-27 21:31:33.039055,343.29,7970.49,66,84.01,Zone C,
2025-04-27 22:31:33.039055,239.99,8701.44,21,90.77,Zone C,Power Outage
2025-04-27 23:31:33.039055,283.27,7552.12,25,30.02,Zone B,None
2025-04-28 00:31:33.039055,276.25,10068.17,89,36.04,Zone C,Festival
2025-04-28 01:31:33.039055,267.33,8460.05,52,37.3,Zone B,Heavy Rain
2025-04-28 02:31:33.039055,388.27,10467.57,86,75.3,Zone C,Maintenance
2025-04-28 03:31:33.039055,320.25,6888.21,16,68.24,Zone D,None
2025-04-28 04:31:33.039055,236.96,10661.76,60,69.52,Zone B,None
2025-04-28 05:31:33.039055,345.89,11667.06,82,95.26,Zone C,Festival
2025-04-28 06:31:33.039055,406.11,6012.53,41,82.07,Zone D,Power Outage
2025-04-28 07:31:33.039055,351.62,10748.11,84,30.23,Zone C,Festival
2025-04-28 08:31:33.039055,224.03,12455.34,17,47.8,Zone A,Festival
2025-04-28 09:31:33.039055,275.79,7580.72,96,54.83,Zone A,Power Outage
2025-04-28 10:31:33.039055,363.35,13345.14,98,51.68,Zone D,Power Outage
2025-04-28 11:31:33.039055,264.62,10838.04,81,73.54,Zone A,Power Outage
2025-04-28 12:31:33.039055,322.19,8589.98,54,91.35,Zone A,None
2025-04-28 13:31:33.039055,338.73,9888.46,95,44.48,Zone B,None
2025-04-28 14:31:33.039055,253.65,11116.65,68,64.15,Zone C,Heavy Rain
2025-04-28 15:31:33.039055,297.02,10152.01,13,83.15,Zone B,
2025-04-28 16:31:33.039055,137.94,11077.51,76,53.3,Zone C,Heavy Rain
2025-04-28 17:31:33.039055,248.78,8158.65,38,33.45,Zone A,Festival
2025-04-28 18:31:33.039055,287.37,10338.72,38,58.0,Zone B,Festival
2025-04-28 19:31:33.039055,237.61,7172.57,37,24.42,Zone C,Heavy Rain
2025-04-28 20:31:33.039055,381.62,9777.55,86,95.39,Zone C,Maintenance
2025-04-28 21:31:33.039055,228.49,8192.18,88,25.99,Zone B,
2025-04-28 22:31:33.039055,278.0,8528.94,96,55.08,Zone D,Festival
2025-04-28 23:31:33.039055,306.54,12472.19,53,62.39,Zone C,Maintenance
2025-04-29 00:31:33.039055,372.06,12182.62,99,98.82,Zone A,Maintenance
2025-04-29 01:31:33.039055,228.21,11218.28,13,33.28,Zone C,
2025-04-29 02:31:33.039055,358.16,7815.37,99,29.15,Zone A,Power Outage
2025-04-29 03:31:33.039055,300.51,9367.18,18,20.7,Zone B,None
2025-04-29 04:31:33.039055,250.92,12426.2,14,32.45,Zone C,Heavy Rain
2025-04-29 05:31:33.039055,323.11,10283.43,65,36.58,Zone A,
2025-04-29 06:31:33.039055,309.95,14638.66,93,70.45,Zone A,None
2025-04-29 07:31:33.039055,269.99,10786.64,59,37.58,Zone B,Heavy Rain
2025-04-29 08:31:33.039055,303.49,10384.1,84,21.64,Zone C,None
2025-04-29 09:31:33.039055,280.73,9381.77,24,86.13,Zone C,Heavy Rain
2025-04-29 10:31:33.039055,305.68,10267.08,41,49.25,Zone B,None
2025-04-29 11:31:33.039055,333.11,9695.06,37,48.3,Zone C,Power Outage
2025-04-29 12:31:33.039055,379.3,11416.22,31,44.2,Zone B,Maintenance
2025-04-29 13:31:33.039055,238.11,11913.4,26,98.03,Zone C,Heavy Rain
2025-04-29 14:31:33.039055,406.65,8428.02,68,33.61,Zone D,Maintenance
2025-04-29 15:31:33.039055,202.4,7337.53,99,91.86,Zone C,Heavy Rain
2025-04-29 16:31:33.039055,292.41,6327.59,80,82.14,Zone A,
2025-04-29 17:31:33.039055,329.42,11015.98,66,26.12,Zone A,
2025-04-29 18:31:33.039055,314.05,7793.27,35,98.94,Zone D,Heavy Rain
2025-04-29 19:31:33.039055,268.87,5694.22,34,41.71,Zone C,Power Outage
2025-04-29 20:31:33.039055,289.59,10777.16,19,27.89,Zone A,None
2025-04-29 21:31:33.039055,275.35,14986.0,54,86.35,Zone A,Heavy Rain
2025-04-29 22:31:33.039055,270.53,9987.86,92,76.53,Zone C,None
2025-04-29 23:31:33.039055,342.48,11676.98,20,69.38,Zone B,Power Outage
2025-04-30 00:31:33.039055,317.85,10163.66,86,32.48,Zone C,Festival
2025-04-30 01:31:33.039055,265.35,9802.22,62,58.28,Zone B,Maintenance
2025-04-30 02:31:33.039055,344.98,11838.15,81,82.44,Zone D,Heavy Rain
2025-04-30 03:31:33.039055,315.36,9419.45,77,44.29,Zone D,
2025-04-30 04:31:33.039055,340.64,10534.78,37,44.94,Zone A,Power Outage
2025-04-30 05:31:33.039055,331.48,10643.4,84,20.25,Zone A,None
2025-04-30 06:31:33.039055,258.55,8663.82,74,33.94,Zone A,Heavy Rain
2025-04-30 07:31:33.039055,271.99,11984.08,58,90.03,Zone B,None
2025-04-30 08:31:33.039055,337.36,9650.08,56,55.34,Zone A,Festival
2025-04-30 09:31:33.039055,330.52,8488.51,61,98.74,Zone C,Heavy Rain
2025-04-30 10:31:33.039055,298.95,11073.02,97,51.66,Zone B,Maintenance
2025-04-30 11:31:33.039055,305.87,8203.06,63,77.21,Zone D,Heavy Rain
2025-04-30 12:31:33.039055,363.88,10056.36,69,42.55,Zone B,Maintenance
2025-04-30 13:31:33.039055,270.42,9981.76,66,49.1,Zone A,None
2025-04-30 14:31:33.039055,327.35,12171.79,56,35.26,Zone C,Heavy Rain
2025-04-30 15:31:33.039055,289.89,10949.4,40,47.76,Zone C,Power Outage
2025-04-30 16:31:33.039055,289.12,9949.95,55,63.78,Zone A,
2025-04-30 17:31:33.039055,354.94,11635.53,35,99.34,Zone C,Power Outage
2025-04-30 18:31:33.039055,341.27,12780.42,14,73.14,Zone B,Festival
2025-04-30 19:31:33.039055,340.68,11115.62,93,35.94,Zone B,Power Outage
2025-04-30 20:31:33.039055,365.27,10020.71,61,23.6,Zone A,Festival
2025-04-30 21:31:33.039055,301.05,7376.33,84,30.11,Zone C,None
2025-04-30 22:31:33.039055,334.1,7869.77,63,65.0,Zone D,Maintenance
2025-04-30 23:31:33.039055,284.49,9389.55,42,81.21,Zone B,
2025-05-01 00:31:33.039055,316.21,8780.98,59,95.23,Zone B,None
2025-05-01 01:31:33.039055,293.49,9626.06,47,21.27,Zone B,Maintenance
2025-05-01 02:31:33.039055,304.85,10113.3,36,61.82,Zone B,Maintenance
2025-05-01 03:31:33.039055,329.76,11059.39,24,57.67,Zone D,Festival
2025-05-01 04:31:33.039055,259.09,9859.0,70,72.48,Zone A,Power Outage
2025-05-01 05:31:33.039055,404.62,10973.0,30,64.77,Zone B,Power Outage
2025-05-01 06:31:33.039055,249.7,10128.95,55,74.96,Zone C,
2025-05-01 07:31:33.039055,239.29,6049.07,78,72.65,Zone D,
2025-05-01 08:31:33.039055,357.91,8121.33,15,29.36,Zone B,Festival
2025-05-01 09:31:33.039055,339.58,9711.82,47,83.98,Zone C,Festival
2025-05-01 10:31:33.039055,331.21,7580.61,71,29.86,Zone B,None
2025-05-01 11:31:33.039055,331.42,11199.86,95,75.88,Zone A,Festival
2025-05-01 12:31:33.039055,299.39,13061.5,71,53.29,Zone D,Power Outage
2025-05-01 13:31:33.039055,255.14,12437.52,91,61.11,Zone A,Festival
2025-05-01 14:31:33.039055,303.79,9573.11,87,92.26,Zone D,Festival
2025-05-01 15:31:33.039055,266.14,12981.45,83,91.19,Zone B,Maintenance
2025-05-01 16:31:33.039055,348.76,10297.33,55,85.43,Zone B,Festival
2025-05-01 17:31:33.039055,292.65,9325.83,22,60.81,Zone D,
2025-05-01 18:31:33.039055,258.73,8773.19,12,78.9,Zone C,None
2025-05-01 19:31:33.039055,283.93,9395.06,15,61.03,Zone C,Festival
2025-05-01 20:31:33.039055,320.65,9223.65,17,89.57,Zone B,
2025-05-01 21:31:33.039055,271.81,10340.83,53,52.22,Zone B,Heavy Rain
2025-05-01 22:31:33.039055,258.89,10321.15,42,97.62,Zone A,Heavy Rain
2025-05-01 23:31:33.039055,312.18,10006.09,90,94.59,Zone B,Maintenance
